,V_Y,m,Energy Lost
0,0.01,200.0,0.0
1,0.01,190.0,0.0
2,0.01,180.0,0.0
3,0.01,170.0,0.0
4,0.01,160.0,0.0
5,0.01,150.0,0.0
6,0.01,140.0,0.0
7,0.01,130.0,0.0
8,0.01,120.0,0.0
9,0.01,110.0,0.0
10,0.01,100.0,0.0
11,0.01,90.0,0.0
12,0.01,80.0,0.0
13,0.01,70.0,0.0
14,0.01,60.0,0.0
15,0.01,50.0,0.0
16,0.01,40.0,0.0
17,0.01,30.0,0.0
18,0.01,20.0,0.0
19,0.01,10.0,0.0
20,50.01,200.0,0.0
21,50.01,190.0,0.0
22,50.01,180.0,0.0
23,50.01,170.0,0.0
24,50.01,160.0,0.0
25,50.01,150.0,0.0
26,50.01,140.0,0.0
27,50.01,130.0,0.0
28,50.01,120.0,0.0
29,50.01,110.0,0.0
30,50.01,100.0,0.0
31,50.01,90.0,0.0
32,50.01,80.0,0.0
33,50.01,70.0,0.0
34,50.01,60.0,0.0
35,50.01,50.0,0.0
36,50.01,40.0,0.0
37,50.01,30.0,0.0
38,50.01,20.0,0.0
39,50.01,10.0,0.0
40,100.00999999999999,200.0,0.0
41,100.00999999999999,190.0,0.0
42,100.00999999999999,180.0,0.0
43,100.00999999999999,170.0,0.0
44,100.00999999999999,160.0,0.0
45,100.00999999999999,150.0,0.0
46,100.00999999999999,140.0,0.0
47,100.00999999999999,130.0,0.0
48,100.00999999999999,120.0,0.0
49,100.00999999999999,110.0,0.0
50,100.00999999999999,100.0,0.0
51,100.00999999999999,90.0,0.0
52,100.00999999999999,80.0,0.0
53,100.00999999999999,70.0,0.0
54,100.00999999999999,60.0,0.0
55,100.00999999999999,50.0,0.0
56,100.00999999999999,40.0,0.0
57,100.00999999999999,30.0,0.0
58,100.00999999999999,20.0,0.0
59,100.00999999999999,10.0,0.0
60,150.01,200.0,0.0
61,150.01,190.0,0.0
62,150.01,180.0,0.0
63,150.01,170.0,0.0
64,150.01,160.0,0.0
65,150.01,150.0,0.0
66,150.01,140.0,0.0
67,150.01,130.0,0.0
68,150.01,120.0,0.0
69,150.01,110.0,0.0
70,150.01,100.0,0.0
71,150.01,90.0,0.0
72,150.01,80.0,0.0
73,150.01,70.0,0.0
74,150.01,60.0,0.0
75,150.01,50.0,0.0
76,150.01,40.0,0.0
77,150.01,30.0,0.0
78,150.01,20.0,0.0
79,150.01,10.0,0.0
80,200.01,200.0,0.0
81,200.01,190.0,0.0
82,200.01,180.0,0.0
83,200.01,170.0,0.0
84,200.01,160.0,0.0
85,200.01,150.0,0.0
86,200.01,140.0,0.0
87,200.01,130.0,0.0
88,200.01,120.0,0.0
89,200.01,110.0,0.0
90,200.01,100.0,0.0
91,200.01,90.0,0.0
92,200.01,80.0,0.0
93,200.01,70.0,0.0
94,200.01,60.0,0.0
95,200.01,50.0,0.0
96,200.01,40.0,0.0
97,200.01,30.0,0.0
98,200.01,20.0,0.0
99,200.01,10.0,0.0
100,250.01,200.0,0.0
101,250.01,190.0,0.0
102,250.01,180.0,0.0
103,250.01,170.0,0.0
104,250.01,160.0,0.0
105,250.01,150.0,0.0
106,250.01,140.0,0.0
107,250.01,130.0,0.0
108,250.01,120.0,0.0
109,250.01,110.0,0.0
110,250.01,100.0,0.0
111,250.01,90.0,0.0
112,250.01,80.0,0.0
113,250.01,70.0,0.0
114,250.01,60.0,0.0
115,250.01,50.0,0.0
116,250.01,40.0,0.0
117,250.01,30.0,0.0
118,250.01,20.0,0.0
119,250.01,10.0,0.0
120,300.01,200.0,0.0
121,300.01,190.0,0.0
122,300.01,180.0,0.0
123,300.01,170.0,0.0
124,300.01,160.0,0.0
125,300.01,150.0,0.0
126,300.01,140.0,0.0
127,300.01,130.0,0.0
128,300.01,120.0,0.0
129,300.01,110.0,0.0
130,300.01,100.0,0.0
131,300.01,90.0,0.0
132,300.01,80.0,0.0
133,300.01,70.0,0.0
134,300.01,60.0,0.0
135,300.01,50.0,0.0
136,300.01,40.0,0.0
137,300.01,30.0,0.0
138,300.01,20.0,0.0
139,300.01,10.0,0.0
140,350.01,200.0,0.0
141,350.01,190.0,0.0
142,350.01,180.0,0.0
143,350.01,170.0,0.0
144,350.01,160.0,0.0
145,350.01,150.0,0.0
146,350.01,140.0,0.0
147,350.01,130.0,0.0
148,350.01,120.0,0.0
149,350.01,110.0,0.0
150,350.01,100.0,0.0
151,350.01,90.0,0.0
152,350.01,80.0,0.0
153,350.01,70.0,0.0
154,350.01,60.0,0.0
155,350.01,50.0,0.0
156,350.01,40.0,0.0
157,350.01,30.0,0.0
158,350.01,20.0,0.0
159,350.01,10.0,0.0
160,400.01,200.0,0.0
161,400.01,190.0,0.0
162,400.01,180.0,0.0
163,400.01,170.0,0.0
164,400.01,160.0,0.0
165,400.01,150.0,0.0
166,400.01,140.0,0.0
167,400.01,130.0,0.0
168,400.01,120.0,0.0
169,400.01,110.0,0.0
170,400.01,100.0,0.0
171,400.01,90.0,0.0
172,400.01,80.0,0.0
173,400.01,70.0,0.0
174,400.01,60.0,0.0
175,400.01,50.0,0.0
176,400.01,40.0,0.0
177,400.01,30.0,0.0
178,400.01,20.0,0.0
179,400.01,10.0,0.0
180,450.01,200.0,0.0
181,450.01,190.0,0.0
182,450.01,180.0,0.0
183,450.01,170.0,0.0
184,450.01,160.0,0.0
185,450.01,150.0,0.0
186,450.01,140.0,0.0
187,450.01,130.0,0.0
188,450.01,120.0,0.0
189,450.01,110.0,0.0
190,450.01,100.0,0.0
191,450.01,90.0,0.0
192,450.01,80.0,0.0
193,450.01,70.0,0.0
194,450.01,60.0,0.0
195,450.01,50.0,0.0
196,450.01,40.0,0.0
197,450.01,30.0,0.0
198,450.01,20.0,0.0
199,450.01,10.0,0.0
200,500.01,200.0,0.0
201,500.01,190.0,0.0
202,500.01,180.0,0.0
203,500.01,170.0,0.0
204,500.01,160.0,0.0
205,500.01,150.0,0.0
206,500.01,140.0,0.0
207,500.01,130.0,0.0
208,500.01,120.0,0.0
209,500.01,110.0,0.0
210,500.01,100.0,0.0
211,500.01,90.0,0.0
212,500.01,80.0,0.0
213,500.01,70.0,0.0
214,500.01,60.0,0.0
215,500.01,50.0,0.0
216,500.01,40.0,0.0
217,500.01,30.0,0.0
218,500.01,20.0,0.0
219,500.01,10.0,0.0
220,550.01,200.0,0.0
221,550.01,190.0,0.0
222,550.01,180.0,0.0
223,550.01,170.0,0.0
224,550.01,160.0,0.0
225,550.01,150.0,0.0
226,550.01,140.0,0.0
227,550.01,130.0,0.0
228,550.01,120.0,0.0
229,550.01,110.0,0.0
230,550.01,100.0,0.0
231,550.01,90.0,0.0
232,550.01,80.0,0.0
233,550.01,70.0,0.0
234,550.01,60.0,0.0
235,550.01,50.0,0.0
236,550.01,40.0,0.0
237,550.01,30.0,0.0
238,550.01,20.0,0.0
239,550.01,10.0,0.0
240,600.01,200.0,0.0
241,600.01,190.0,0.0
242,600.01,180.0,0.0
243,600.01,170.0,0.0
244,600.01,160.0,0.0
245,600.01,150.0,0.0
246,600.01,140.0,0.0
247,600.01,130.0,0.0
248,600.01,120.0,0.0
249,600.01,110.0,0.0
250,600.01,100.0,0.0
251,600.01,90.0,0.0
252,600.01,80.0,0.0
253,600.01,70.0,0.0
254,600.01,60.0,0.0
255,600.01,50.0,0.0
256,600.01,40.0,0.0
257,600.01,30.0,0.0
258,600.01,20.0,0.0
259,600.01,10.0,0.0
