timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,kinetic_energy,energy_lost
0,1.4,1.4001,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.825,0.0
1,1.4,1.3001999999999998,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.825,0.0
2,1.4,1.2002999999999997,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.825,0.0
3,1.4,1.1003999999999996,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.825,0.0
4,1.4,1.0004999999999995,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.825,0.0
5,1.4,0.9005999999999995,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.825,0.0
6,1.4,0.8006999999999995,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,0.0,-0.0999,-0.0999,-0.0999,0.0,0.0,0.0,12.839970014999999,-0.014970014999999393
7,1.4,0.7008004994995217,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,-0.0999,-0.199799835165,-0.199799835165,-0.199799835165,0.0,0.0,0.0,12.889869966197942,-0.04989995119794344
8,1.4,0.6009019979972642,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,-0.199799835165,-0.299699395605272,-0.299699395605272,-0.299699395605272,-0.0998996670003185,0.0,0.0,12.984679550388616,-0.0948095841906742
9,1.4,0.50100510598989,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,0.0,-0.299699395605272,-0.3995985714314505,-0.3995985714314505,-0.3995985714314505,-0.1997991691661865,0.0,0.0,13.129388245297914,-0.14470869490929772
10,1.4,0.4011103784721943,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.0998975580054531,-0.3995985714314505,-0.4994972527546538,-0.4994972527546538,-0.4994972527546538,-0.2996983966082422,0.0,0.0,13.328985092921698,-0.19959684762378416
11,1.4,0.3012185369320568,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.1997949511799356,-0.4994972527546538,-0.5993953296866044,-0.5993953296866044,-0.5993953296866044,-0.3995972394374866,0.0,0.0,13.58845888277142,-0.25947378984972147
12,1.4,0.2013302473551956,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.2996920696364056,-0.5993953296866044,-0.6992926923397499,-0.6992926923397499,-0.6992926923397499,-0.499495587765404,0.0,0.0,13.907808374364748,-0.3193494915933286
13,1.4,0.1014461757230551,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.3995888034881837,-0.6992926923397499,-0.7991892308273844,-0.7991892308273844,-0.7991892308273844,-0.5993933317040833,0.0,0.0,14.287032063767807,-0.37922368940305873
14,1.4,0.0015669880120738,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.4994850428490745,-0.7991892308273844,-0.8990848352637688,-0.8990848352637688,-0.8990848352637688,-0.6992903613663385,0.0,0.0,14.726128183602054,-0.4390961198342467
15,1.4,-0.0983066498070481,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.5993806778334865,-0.8990848352637688,-0.998979395764252,-0.998979395764252,-0.998979395764252,-0.7991865668658299,-0.0998814631768712,0.0,15.23008285639554,-0.5039546727934869
16,1.4,-0.198173905301136,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.6992755985565536,-0.998979395764252,-1.0988728024453915,-1.0988728024453915,-1.0988728024453915,-0.8990818383171848,-0.1997627615493282,0.0,15.803881908327163,-0.5737990519316227
17,1.4,-0.2980340015341423,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.7991696951342558,-1.0988728024453915,-1.1987649454250748,-1.1987649454250748,-1.1987649454250748,-0.9989760658361182,-0.2996437852480334,0.0,16.447522699433147,-0.6436407911059838
18,1.4,-0.3978861615783214,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.8990628576835403,-1.1987649454250748,-1.2986557148226394,-1.2986557148226394,-1.2986557148226394,-1.098869139539554,-0.3995244244040118,0.0,17.161002282449168,-0.7134795830160208
19,1.4,-0.4977296085150855,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-0.998954976322442,-1.2986557148226394,-1.3985450007589946,-1.3985450007589946,-1.3985450007589946,-1.198760949545746,-0.4994045691487718,0.0,17.944317402823643,-0.7833151203744748
20,1.4,-0.597563565435858,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.0988459411702045,-1.3985450007589946,-1.4984326933567418,-1.4984326933567418,-1.4984326933567418,-1.2986513859743978,-0.5992841096144261,0.0,18.797464498732403,-0.8531470959087599
21,1.4,-0.6973872554429289,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.198735642347401,-1.4984326933567418,-1.598318682740295,-1.598318682740295,-1.598318682740295,-1.398540338946785,-0.6991629359338126,0.0,19.720439701094683,-0.9229752023622808
22,1.4,-0.7971999016503091,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.2986239699760551,-1.598318682740295,-1.6982028590360034,-1.6982028590360034,-1.6982028590360034,-1.498427698585875,-0.7990409382406151,0.0,20.713238833590506,-0.9927991324958221
23,1.4,-0.8970007271845847,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.3985108141797622,-1.6982028590360034,-1.7980851123722696,-1.7980851123722696,-1.7980851123722696,-1.5983133550164492,-0.8989180066694843,0.0,21.775857412679382,-1.062618579088877
24,1.4,-0.9967889551857722,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.4983960650838093,-1.7980851123722696,-1.897965332879673,-1.897965332879673,-1.897965332879673,-1.6981971983652215,-0.9987940313561584,0.0,22.90829064762038,-1.1324332349409971
25,1.4,-1.0965638088081724,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.598279612815297,-1.897965332879673,-1.9978434106910887,-1.9978434106910887,-1.9978434106910887,-1.798079118760962,-1.0986689024375846,0.0,24.110533440493537,-1.2022427928731574
26,1.4,-1.196324511221225,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.698161347503259,-1.9978434106910887,-2.09771923594181,-2.09771923594181,-2.09771923594181,-1.8979590063346157,-1.198542510052039,0.0,25.382580386222646,-1.2720469457291088
27,1.4,-1.296070285610364,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.7980411592787848,-2.09771923594181,-2.197592698769669,-2.197592698769669,-2.197592698769669,-1.997836751219424,-1.2984147443392482,0.0,26.72442577259935,-1.3418453863767041
28,1.4,-1.3958003551778704,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.8979189382751391,-2.197592698769669,-2.297463689315153,-2.297463689315153,-2.297463689315153,-2.097712243551046,-1.3982854954405095,0.0,28.13606358030862,-1.411637807709269
29,1.4,-1.495513943143729,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-1.997794574627883,-2.297463689315153,-2.3973320977215358,-2.3973320977215358,-2.3973320977215358,-2.19758537346768,-1.498154653498813,0.0,29.61748748295562,-1.481423902647002
30,1.4,-1.5952102727464808,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.0976679584749944,-2.3973320977215358,-2.497197814134985,-2.497197814134985,-2.497197814134985,-2.297456031110181,-1.5980221086589603,0.0,31.168690847093803,-1.551203364138182
31,1.4,-1.694888567244078,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.1975389799569904,-2.497197814134985,-2.597060728704695,-2.597060728704695,-2.597060728704695,-2.3973241066221864,-1.6978877510676884,0.0,32.789666732254496,-1.6209758851606928
32,1.4,-1.7945480499147397,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.297407529217047,-2.597060728704695,-2.6969207315830004,-2.6969207315830004,-2.6969207315830004,-2.4971894901502334,-1.7977514708737865,0.0,34.48040789097777,-1.6907411587232772
33,1.4,-1.8941879440578036,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.397273496401119,-2.6969207315830004,-2.7967777129255,-2.7967777129255,-2.7967777129255,-2.59705207184388,-1.897613158228221,0.0,36.24090676884464,-1.7604988778668655
34,1.4,-1.9938074729945832,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.497136771658063,-2.7967777129255,-2.8966315628911747,-2.8966315628911747,-2.8966315628911747,-2.6969117418558275,-1.9974727032842527,0.0,38.07115550451064,-1.8302487356660038
35,1.4,-2.0934058600692205,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.5969972451397574,-2.8966315628911747,-2.9964821716425134,-2.9964821716425134,-2.9964821716425134,-2.7967683903420406,-2.097329996197562,0.0,39.971145929740814,-1.8999904252301718
36,1.4,-2.192982328649541,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.696854807001221,-2.9964821716425134,-3.0963294293456283,-3.0963294293456283,-3.0963294293456283,-2.8966219074618675,-2.197184927126364,0.0,41.9408695694459,-1.9697236397050872
37,1.4,-2.292536102127908,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.7967093474007383,-3.0963294293456283,-3.1961732261703792,-3.1961732261703792,-3.1961732261703792,-2.9964721833781622,-2.2970373862315343,0.0,43.98031764172004,-2.0394480722741406
38,1.4,-2.3920664039220743,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.896560756499976,-3.1961732261703792,-3.2960134522904934,-3.2960134522904934,-3.2960134522904934,-3.0963191082574038,-2.396887263676727,0.0,46.08948105787971,-2.1091634161596673
39,1.4,-2.491572457476042,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-2.996408924464107,-3.2960134522904934,-3.395849997883685,-3.395849997883685,-3.395849997883685,-3.1961625722698166,-2.496734449628497,0.0,48.26835042250402,-2.178869364624312
40,1.4,-2.591053486260911,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.096253741461928,-3.395849997883685,-3.495682753131779,-3.495682753131779,-3.495682753131779,-3.296002465589495,-2.5965788342564204,0.0,50.5169160334765,-2.248565610972477
41,1.4,-2.690508713775737,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.1960950976659848,-3.495682753131779,-3.5955116082208294,-3.5955116082208294,-3.5955116082208294,-3.39583867839452,-2.6964203077332147,0.0,52.835167882028024,-2.318251848551526
42,1.4,-2.7899373635483826,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.295932883252688,-3.5955116082208294,-3.6953364533412407,-3.6953364533412407,-3.6953364533412407,-3.495671100867081,-2.79625876023486,0.0,55.22309565278122,-2.387927770753194
43,1.4,-2.8893386591363743,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.3957669884024373,-3.6953364533412407,-3.7951571786878886,-3.7951571786878886,-3.7951571786878886,-3.5954996231936,-2.89609408194072,0.0,57.6806887237962,-2.4575930710149834
44,1.4,-2.988711824127755,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.495597303299742,-3.7951571786878886,-3.894973674460241,-3.894973674460241,-3.894973674460241,-3.695324135564845,-2.995926163033663,0.0,60.20793616661762,-2.5272474428214196
45,1.4,-3.088056082141937,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.5954237181333397,-3.894973674460241,-3.994785830862478,-3.994785830862478,-3.994785830862478,-3.7951445281760594,-3.0957548937001818,0.0,62.80482674632312,-2.5968905797055015
46,1.4,-3.1873706568305598,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.695246123096319,-3.994785830862478,-4.094593538103616,-4.094593538103616,-4.094593538103616,-3.894960691227077,-3.195580164130516,0.0,65.47134892157308,-2.666522175249959
